"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",5,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Bag - single use",25,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Bag Pieces*",175,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Balloons",1,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Beverage Bottles",17,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Chip Bags",30,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Cigar Tips",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Cigarette Butts",2,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Cigarette - Electronic",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Container Cap/Pieces",4,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Cups",4,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Foam Cups",1,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Foam Food Containers",2,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Foam Other Containers",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",48,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Foam Plate",3,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Hard Plastic Container",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Hard Plastic Pieces",45,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Lid",20,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Lighters",1,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Pens/Markers",1,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plastic 6-Pack Holder",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plastic Bottles",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plastic Pipe",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plastic Straw Wrapper",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plates",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Single Use Container",5,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Soft Plastic Pieces*",25,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Straw/Stirrer",3,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Tarp",0,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Tobacco Wrapper/Pieces",8,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Wrapper/Wrapper Pieces*",115,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Plastic Other (describe)",2,"22.0","44520.0","Plastic","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Natural (Cotton, Wool)",2,"22.0","44520.0","Fabric and Cloth","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Shoes",0,"22.0","44520.0","Fabric and Cloth","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Synthetic Fabric",2,"22.0","44520.0","Fabric and Cloth","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Tent/Sleeping bag",0,"22.0","44520.0","Fabric and Cloth","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Fabric Other (describe)",0,"22.0","44520.0","Fabric and Cloth","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Furniture/Appliances",0,"22.0","44520.0","Large Items","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Garbage Bags of Trash",0,"22.0","44520.0","Large Items","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Shopping Carts",0,"22.0","44520.0","Large Items","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Tires",0,"22.0","44520.0","Large Items","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Large Other  (describe)",0,"22.0","44520.0","Large Items","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Food Waste",0,"22.0","44520.0","Biodegradable","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Paper/ cardboard",40,"22.0","44520.0","Biodegradable","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Yard Waste/Leaf piles*",0,"22.0","44520.0","Biodegradable","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Biodegradable Other (describe)",0,"22.0","44520.0","Biodegradable","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Condoms",0,"22.0","44520.0","Biohazard","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
"Dead Animals",0,"22.0","44520.0","Biohazard","Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx"
