"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",2,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Bag - single use",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Bag Pieces*",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Balloons",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Beverage Bottles",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Chip Bags",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Cigar Tips",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Cigarette Butts",7,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Cigarette - Electronic",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Container Cap/Pieces",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Cups",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Foam Cups",1,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Foam Food Containers",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Foam Other Containers",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",1,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Foam Plate",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Hard Plastic Container",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Hard Plastic Pieces",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Lid",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Lighters",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Pens/Markers",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Plastic 6-Pack Holder",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Plastic Bottles",2,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Plastic Pipe",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
"Plastic Straw Wrapper",0,"25.0","44457.0","Plastic","Site 25_09-18-2021/Data for Site #25 09_18_21.xlsx"
