"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",2,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Bag - single use",4,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Bag Pieces*",4,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Balloons",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Beverage Bottles",2,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Chip Bags",2,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Cigar Tips",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Cigarette Butts",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Cigarette - Electronic",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Container Cap/Pieces",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Cups",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Foam Cups",1,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Foam Food Containers",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Foam Other Containers",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",3,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Foam Plate",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Hard Plastic Container",1,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Hard Plastic Pieces",1,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Lid",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Lighters",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Pens/Markers",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plastic 6-Pack Holder",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plastic Bottles",2,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plastic Pipe",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plastic Straw Wrapper",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plates",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Single Use Container",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Soft Plastic Pieces*",8,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Straw/Stirrer",2,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Tarp",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Tobacco Wrapper/Pieces",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Wrapper/Wrapper Pieces*",9,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Plastic Other (describe)",0,"28.0","44520.0","Plastic","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Natural (Cotton, Wool)",0,"28.0","44520.0","Fabric and Cloth","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Shoes",0,"28.0","44520.0","Fabric and Cloth","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Synthetic Fabric",3,"28.0","44520.0","Fabric and Cloth","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Tent/Sleeping bag",0,"28.0","44520.0","Fabric and Cloth","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Fabric Other (describe)",0,"28.0","44520.0","Fabric and Cloth","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
"Furniture/Appliances",0,"28.0","44520.0","Large Items","Site 28_11-20-2021 moved trib/Data for Site #28 11-20-21.xlsx"
