"item","count","station_id_tally","date_tally","material","filename","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","station_id_vegetatedcondition","date_vegetated","banks_percent_ground_cover","banks_percent_understory","banks_percent_trees_roots","banks_percent_bare_ground","banks_percent_total","channel_percent_woody_debris","channel_percent_aquatic_vegetation","channel_percent_algae","channel_percent_no_vegetation_or_woody_debris","channel_percent_total","comments_vegetation","station_id_trashassessment","site_description","site_type","field_crew","date","start_time","start_am_pm","end_time","end_am_pm","start_latitude","end_latitude","start_longitude","end_longitude","watershed","datum","left_bank_access","left_bank_facing","right_bank_access","right_bank_facing","channel_type_1","channel_type_2","channel_type_3","channel_type_4","channel_type_other","is_stream_flowing","reach_length","reach_length_units","wetted_width_a","wetted_width_b","wetted_width_c","wetted_width_units","bankfull_width_a","bankfull_width_b","bankfull_width_c","bankfull_width_units","assessment_width_a","assessment_width_b","assessment_width_c","assessment_width_units","was_trash_picked_up","number_outfalls","outfall_diameter_1","outfall_diameter_2","outfall_diameter_3","outfall_diameter_4","outfall_trash_1","outfall_trash_2","outfall_trash_3","outfall_trash_4","outfall_trash_amount_1","outfall_trash_amount_2","outfall_trash_amount_3","outfall_trash_amount_4","homeless_encampment_in_200_m","comments"
"Bag - reusable",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Bag - single use",3,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Bag Pieces*",4,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Balloons",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Beverage Bottles",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Chip Bags",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Cigar Tips",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Cigarette Butts",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Cigarette - Electronic",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
"Container Cap/Pieces",0,"91","44527","Plastic","Site_Data/Site 91_11-27-2021/Data for Site #91 11-27-21.xlsx","0.2","5",NA,NA,"1","GALLONS",NA,"   ft3","91","91","44527","0.15","0","0.35","0.5","1","0.2","0","0","0.8","1",NA,"91","Pinole Ck at Gan Shalom Cemetery, Briones","probabilistic","Megan Damien Kent Ann Norma Mary Lisa","44527","0.40625","AM","0.42569444444444443","AM","37.954000000000001","37.954000000000001","-122.19759999999999","-122.1974","Pinole Creek","GoogleEarth (NAD 83)","EASY","(Facing Downstream)","HARD","(Facing Downstream)","Natural","Rip Rap","No addtional types","No addtional types","no others","YES","98","ft","3","5","2.6667000000000001","ft","18","22","21.666699999999999","ft","18","22","21.666699999999999","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","A lot of rip rap from the road embankment had fallen into the creek"
