"","cat","field_1","filename","start_lati","end_latitu","start_long","end_longit","dist","distuppipe","X","reach_length_units_m","reach_area_m2","sum","sum_per_m","sum_per_m2","sum_m3","sum_m3_per_m","sum_m3_per_m2","sum_l_per_m","sum_l_per_m2","site_name","multiple","distance_to_bay","censored_sum","censored_volume","upstream_of_city"
"1",1,1,"Site 0_10-20-2021/Site #0 10_20_21.xlsx",37.983063,37.982913,-122.273063,-122.272913,12735.12761,98,1,30,197.866,14,0.466666666666667,0.0707549553738388,0.01892705,0.000630901666666667,9.56558984363154e-05,0.630901666666667,0.0956558984363154," 0",0.000808267458443143,4997.75439,FALSE,FALSE,FALSE
"2",2,2,"Site 12_11-13-2021/Data for Site #12 11-13-21.xlsx",37.971793,37.971609,-122.244496,-122.244129,9491.05349,NA,2,30,236.725968,14,0.466666666666667,0.0591401108981842,0.01514164,0.000504721333333333,6.3962733484313e-05,0.504721333333333,0.063962733484313," 12",0.000646613966754513,8241.82851,FALSE,FALSE,TRUE
"3",3,3,"Site 13_12-8-2021/Site #13 12_8_21.xlsx",37.992961,37.992871,-122.28612,-122.285997,14721.77702,42,3,30,149.352,38,1.26666666666667,0.254432481654079,0.070030085,0.00233433616666667,0.000468892850447265,2.33433616666667,0.468892850447265," 13",0.00851167808160512,3011.10498,FALSE,FALSE,FALSE
"4",4,4,"Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx",38.00181,38.0015025,-122.289369,-122.2898711,15855.22078,195,4,30,426,42,1.4,0.0985915492957746,0.0035961395,0.000119871316666667,8.44164201877934e-06,0.119871316666667,0.00844164201877934," 14",0.000484338730867084,1877.66122,FALSE,FALSE,FALSE
"5",5,5,"Site 16_10-16-2021/Data for Site #16 10_16_21.xlsx",37.9981609,37.9983192,-122.2882326,-122.287888,15414.54782,229,5,30,428,81,2.7,0.189252336448598,0,0,0,0,0," 16",0,2318.33418,FALSE,TRUE,FALSE
"6",6,6,"Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx",37.9644,37.9641,-122.2044,-122.2039,5299.372354,NA,6,30,232.156,90.0143113245722,3.00047704415241,0.387732004878496,0.45503528,0.0151678426666667,0.00196004100690915,15.1678426666667,1.96004100690915," 17",0.133055771785609,12433.509646,FALSE,FALSE,TRUE
"7",7,7,"Site 19_10-23-2021/Data for Site #19 10_23_21.xlsx",38.0109,38.0107,-122.2924,-122.2923,17051.84664,3,7,30,727.5576,234.290577228181,7.80968590760603,0.32202340712018,0.020819755,0.000693991833333333,2.8615954255718e-05,0.693991833333333,0.028615954255718," 19",0.0159551769329577,681.035360000002,FALSE,FALSE,FALSE
"8",8,8,"Site 20_10-16-2021/Data for Site #20-relocated 10_16_21.xlsx",37.99209,37.992,-122.284052,-122.2839,14494.63039,110,8,30,159.76600001016,76.9834081672598,2.56611360557533,0.481851008114143,0.13878183,0.004626061,0.000868656848085165,4.626061,0.868656848085165," 20",0.034640184123848,3238.25161,FALSE,FALSE,FALSE
"9",9,9,"Site 22CITY_11-20-2021 moved trib/Data for Site #22 City moved trib 11-20-21.xlsx",37.996748,37.996476,-122.288135,-122.288085,15191.64092,39,9,30,299.718984,670,22.3333333333333,2.23542730279641,0.1410065225,0.00470021741666667,0.000470462433237129,4.70021741666667,0.470462433237129," 22CITY",0.309880417404118,2541.24108,FALSE,FALSE,FALSE
"10",10,10,"Site 23_10-23-2021/Data for Site #23-relocated 10_23_21.xlsx",38.0125,38.0123,-122.2947,-122.2945,17320.03626,15,10,30,965.6064,183.444183863234,6.11480612877446,0.189978218726837,0.017034345,0.0005678115,1.76410854360534e-05,0.5678115,0.0176410854360534," 23",0.0102090251629986,412.845740000001,FALSE,FALSE,FALSE
